Item,Description ,Unit Price (INR),Quantity,Total Price,Total Price (USD)
BLDC Motor,DYS D3548-5 900 KV BLDC Motor,2050,2,4100,45
Flight Controller,Pixhawk 2.4.8 Drone Flight Controller PX4 32 Bit Autopilot,6456,1,6456,71.5
Pixhawk Power Module,APM/Pixhawk Power Module Output BEC 3A XT60 Connector 28V 90A,582,1,582,6.5
GPS Module,NEO-M8N (Ready To SKY) GPS Module with Compass for APM with extra connector for Pixhawk,1956,1,1956,22
ESC,Readytosky 80A ESC 2-6S Brushless ESC Speed Controller for RC Drone,1935,2,3870,43
Carbon Fibre Rod,Pultruded Carbon Fibre Rod (Solid) 0.8mm * 1000mm (Pack of 2),534,1,534,6
Propellors,Counter Rotating Carbon Fiber Propellers 1555 (CW+CCW),864,1,864,10
LiPo Battery,GenX 14.8V 4S 5200mAh 40C / 80C Premium Lipo Lithium Polymer Battery,3225,1,3225,36
,,,,,
,,,,Total Sum (USD)= ,240
